"RK",TIERS,"PLAYER NAME",TEAM,"BYE","SOS","ECR VS ADP"
"1",1,"Houston Texans",HOU,"8","2 out of 5 stars","0"
"2",1,"Seattle Seahawks",SEA,"11","2 out of 5 stars","+2"
"3",1,"Los Angeles Rams",LAR,"11","2 out of 5 stars","-1"
"4",1,"Denver Broncos",DEN,"10","4 out of 5 stars","-1"
"5",2,"Philadelphia Eagles",PHI,"10","0 out of 5 stars","0"
"6",2,"Pittsburgh Steelers",PIT,"9","5 out of 5 stars","+1"
"7",2,"Los Angeles Chargers",LAC,"7","3 out of 5 stars","+4"
"8",3,"Baltimore Ravens",BAL,"13","5 out of 5 stars","+1"
"9",3,"Green Bay Packers",GB,"11","2 out of 5 stars","+7"
"10",3,"New England Patriots",NE,"11","3 out of 5 stars","-4"
"11",3,"Detroit Lions",DET,"6","5 out of 5 stars","+1"
"12",3,"Minnesota Vikings",MIN,"6","1 out of 5 stars","-4"
"13",3,"Jacksonville Jaguars",JAC,"7","3 out of 5 stars","-3"
"14",3,"Chicago Bears",CHI,"10","2 out of 5 stars","+6"
"15",3,"Kansas City Chiefs",KC,"5","3 out of 5 stars","-2"
"16",4,"Buffalo Bills",BUF,"7","3 out of 5 stars","-2"
"17",4,"Cleveland Browns",CLE,"11","5 out of 5 stars","0"
"18",4,"New Orleans Saints",NO,"8","5 out of 5 stars","+4"
"19",4,"Indianapolis Colts",IND,"13","5 out of 5 stars","+6"
"20",4,"Atlanta Falcons",ATL,"11","4 out of 5 stars","+1"
"21",4,"Tampa Bay Buccaneers",TB,"10","4 out of 5 stars","+5"
"22",5,"San Francisco 49ers",SF,"8","3 out of 5 stars","-4"
"23",5,"Dallas Cowboys",DAL,"14","1 out of 5 stars","-8"
"24",5,"New York Giants",NYG,"8","1 out of 5 stars","-5"
"25",5,"Cincinnati Bengals",CIN,"6","4 out of 5 stars","+2"
"26",5,"Tennessee Titans",TEN,"9","2 out of 5 stars","-2"
"",5
"27",5,"Carolina Panthers",CAR,"5","3 out of 5 stars","+1"
"28",5,"Las Vegas Raiders",LV,"13","4 out of 5 stars","-5"
"29",5,"Washington Commanders",WAS,"7","2 out of 5 stars","0"
"30",5,"Miami Dolphins",MIA,"6","3 out of 5 stars","0"
"31",5,"New York Jets",NYJ,"13","4 out of 5 stars","+1"
"32",5,"Arizona Cardinals",ARI,"14","2 out of 5 stars","-1"
